SiO2 melt, Natom=300                                           37    1
    300  2      1000      1000      1000   21  200    1    0 1001 1001      
  O     SI  
   200   100
     1   201
   200   300
    300.00   -1.0000    300.00    .00010    .00010    .00010
 .5459768 .3547503 .7954850 5.0023445.0983674.975222   .554137  .352498  .814332
 .9956377 .5225029 .0532418 4.9882615.1997104.948724   .988182  .529963  .053341
 .5568337 .0794088 .7892653 5.1725004.8895874.935074   .557915  .069727  .806292
 .2398267 .9311574 .0562263 4.8965084.9609684.991967   .248015  .922919  .054779
 .4895309 .9459379 .2233986 5.0648525.1527854.916371   .486119  .938861  .227933
 .1169375 .9745656 .4100592 5.1663385.0669835.014947   .119458  .974849  .413984
 .2800923 .9983469 .4588189 5.1308395.0146545.173843   .277947 1.005260  .451081
 .6600939 .6744757 .9877005 5.0446064.8783595.018888   .662265  .676492  .991206
 .9361319 .3783207 .1326373 5.1215415.0161414.972185   .932722  .387980  .130566
 .9704038 .0695484 .6640415 5.0554914.9312964.913230   .971640  .071059  .682294
 .3599732 .9778027 .3231758 5.0965764.9897515.054530   .355118  .973965  .323512
 .2305182 .5904107 .7880742 5.0488135.0151484.915915   .232172  .601378  .785892
 .3754180 .7396858 .1452899 4.9775734.9591844.986175   .375640  .743044  .134147
 .8299916 .0589644 .7189918 5.0846995.0071235.001357   .835086  .028565  .733668
 .9243090 .1877516 .8836330 5.0419945.0925184.950532   .920105  .187595  .883915
 .8770081 .4207623 .5348696 5.0265425.0297515.107618   .886185  .420761  .543607
 .2169970 .7545045 .5775731 4.9538465.1062804.956250   .210343  .767125  .573166
 .5143927 .0878423 .3279402 4.9814684.9634094.943477   .522650  .086063  .338275
 .9077016 .2850931 .6069086 4.9395905.0827274.938869   .917854  .279891  .599953
 .3080535 .4234595 .9908593 4.9796334.8394565.084680   .306142  .419783 1.008408
 .8951859 .8445410 .1662958 5.0101604.9993395.004680   .899102  .849544  .169837
 .8940394 .3402517 .8890154 4.8910215.0378504.952408   .879281  .349648  .873718
 .3116824 .1337850 .3527551 4.9910664.9840914.940261   .304734  .139689  .346651
 .8781376 .9864685 .5670014 5.0043895.0034814.892758   .891029  .980829  .570816
 .1088560 .0154325 .7063718 5.0355835.0583084.963930   .104661  .011368  .709548
 .5746038 .7202366 .2692906 5.0544605.0676435.013246   .577378  .714730  .269909
 .9381177 .5376928 .2221033 4.9939814.9987014.996933   .935097  .543599  .225729
 .0403010 .3750888 .0170530 4.9485334.9461094.828220   .028561  .371391  .013370
 .2243776 .1697558 .2286248 5.0789395.1940945.046416   .222637  .174026  .226240
 .6494369 .4811837 .4185346 4.9496564.9930504.923860   .646625  .477615  .409800
 .0919735 .2246842 .0556236 5.0485124.9933815.031422   .088122  .216201  .042627
 .3236139 .7054843 .7130421 4.9168995.0494844.987727   .336964  .687832  .704362
 .0058043 .4324069 .8146884 4.8792745.0356215.083382   .003703  .438950  .813367
 .0301718 .7937425 .1667262 4.9605885.1158705.087417   .030061  .779354  .169645
 .3591362 .1675760 .5910540 5.0358054.9523735.100849   .372980  .158575  .596286
 .9757972 .2696914 .7531062 5.0302965.0578395.083070   .976685  .269759  .758925
 .1503437 .2457580 .5160001 4.9767854.8634654.976904   .144822  .257902  .520287
 .0045975 .1079340 .9890272 4.9852814.8960084.971459   .001932  .108553  .989848
 .1650386 .8702249 .2780181 5.0247954.9716804.935207   .166032  .879419  .286673
 .4538672 .1527377 .9872833 4.8362385.0561495.101374   .466255  .157638  .988804
 .1267923 .8328094 .0319632 4.9070325.0226304.947493   .119950  .832414  .034543
 .2267744 .8205672 .4154362 4.9139835.0444124.963778   .234376  .816097  .410611
 .8226437 .8052120 .7620391 4.9809654.9978464.985649   .820421  .809642  .753721
 .1888086 .4720904 .8936828 5.0512974.9008724.794595   .206093  .481671  .892777
 .4233116 .6015897 .4547511 4.8610414.8966274.917105   .422038  .596770  .447326
 .4181901 .4541857 .5146115 5.0940475.0441765.206225   .418811  .453362  .511758
 .0763864 .4448158 .1623679 4.9898994.9313274.867289   .073497  .447470  .150229
 .1171291 .4985625 .7337756 4.9495584.9614884.996724   .120649  .498445  .737901
 .9517446 .6642615 .1167287 5.0679984.9874075.039604   .942646  .664970  .119577
 .0699718 .9959243 .2625879 5.0688055.0074305.075702   .068990  .995995  .266618
 .2694961 .3635568 .5004957 5.0159154.9899585.034887   .263567  .359667  .499244
 .3324837 .8903583 .1736407 4.9645854.8078285.125216   .346473  .897990  .169722
 .3173310 .8570591 .5348252 4.9324325.0201484.994629   .315644  .868316  .528209
 .0259029 .1070664 .1512904 5.1671895.0167415.054643   .012866  .095807  .149971
 .8508710 .2898624 .4282352 5.0946515.0863635.110994   .862982  .288628  .430652
 .0370187 .9449873 .1055563 5.0581824.9166375.096641   .031175  .940101  .113923
 .9009083 .5590730 .3783089 4.9282994.9902725.017238   .895990  .560986  .380993
 .6930555 .8123046 .2766314 4.9015175.0350054.960817   .679249  .829199  .291242
 .1250949 .6597376 .5031089 4.9558934.9814175.091850   .126458  .673820  .488069
 .0180520 .4598470 .3451004 5.1071124.8648615.106354   .018821  .465069  .334050
 .4862577 .2372847 .5300623 4.9724284.9923345.075360   .496531  .225916  .532909
 .3579831 .2752707 .9868019 5.0418325.0158945.001704   .357418  .267833  .982614
 .1404552 .3880093 .4236901 4.9872524.9843815.042469   .137365  .390908  .415884
 .4045964 .4114276 .7915910 4.8849445.0991724.917777   .418134  .408812  .791627
 .5319930 .8816610 .5502947 5.1301004.9902635.099222   .516890  .872425  .549659
 .8470088 .7448093 .9726573 5.1156964.9147105.063027   .851236  .746731  .980573
 .7908503 .9470098 .8586916 4.9032545.1060854.979776   .800766  .945480  .876998
 .1834788 .4836461 .0643604 4.9552305.0115475.057068   .181188  .501839  .060745
 .2202162 .0229077 .2980864 4.9568294.9896145.159845   .216179  .026957  .294565
 .5070631 .4957947 .3793819 4.9267315.0646925.109153   .509089  .480981  .378084
 .3525421 .5468426 .7129316 4.9863984.9925405.063475   .344201  .525603  .707705
 .9170624 .8604566 .8731239 4.9270105.1149615.003265   .915258  .864746  .875317
 .7592391 .8628788 .1346087 4.8532005.0002095.140195   .755061  .871666  .147538
 .7703457 .3018267 .5700672 4.9684474.8775045.130560   .779307  .308542  .567963
 .7636821 .7520470 .5000248 4.8266424.8487585.020292   .784472  .738392  .504094
 .2011817 .5194265 .2320613 4.9987564.8843844.922785   .197587  .521317  .222474
 .9057541 .9266967 .7208412 5.0365745.0182994.967566   .926826  .916822  .719104
 .8276621 .0056248 .1353642 5.0836894.9722655.004109   .821304  .012839  .136409
 .9276306 .0198273 .8619637 4.7911904.9781844.930844   .934469  .023921  .867465
 .0199849 .6389338 .3906648 5.0367764.9471535.055604   .019780  .643702  .376454
 .4116538 .0595543 .7751020 5.0253025.0460454.900081   .419366  .045138  .767836
 .5257016 .6543275 .1230360 5.0453704.9487205.025321   .523905  .644571  .129471
 .4124176 .8276826 .2951588 5.1040704.8882105.109663   .408701  .821822  .291616
 .4436187 .8054583 .6616226 4.8278064.9815114.932792   .433498  .809917  .672890
 .5888477 .1110324 .9573484 4.8561175.0547375.013036   .594038  .084887  .971294
 .9482637 .2247264 .0886649 5.0455664.8602195.132110   .949141  .232018  .098022
